voice day 1;voice day 2;voice day 3;voice day 4;voice day 5;voice day 6
0;1486;50;27;2;3
356;225;303;398;250;283
2;2;1;7;1;3
14;27;2;60;51;16
203;217;329;180;217;201
13;7;9;6;2;14
54;28;0;49;17;22
238;167;130;156;176;98
4;2;4;1;1;3
1;1;1;1;1;1
3;0;3;3;6;1
4;4;3;0;4;11
1;1;1;1;1;1
175;210;120;154;287;139
8;1;4;10;6;2
5;2;0;5;2;9
3;10;0;0;6;0
311;178;166;324;192;124
43;82;36;49;7;11
12;3;8;23;4;7
23;14;21;31;36;11
22;3;1;7;5;1
36;113;59;92;60;61
0;1;1;0;1;3
10;8;12;11;7;2
34;27;27;21;23;5
4;0;0;0;0;0
190;170;156;210;94;79
9;1;0;1;0;11
495;540;433;716;724;783
348;213;173;286;209;312
20;15;19;8;5;6
266;333;344;154;337;162
8;15;1;15;12;1
161;4;310;217;479;435
377;181;276;230;398;193
53;25;30;26;38;70
0;4;0;0;0;3
185;281;188;173;168;104
0;0;1;0;1;0
139;196;24;17;4;10
1108;944;1311;977;703;767
92;44;168;135;94;132
168;6;22;105;67;6
130;51;58;129;54;121
478;217;416;473;276;578
122;131;82;238;166;173
1;19;3;4;0;1
167;122;110;131;203;131
269;297;383;388;396;364
69;23;33;18;36;67
17;24;2;28;14;20
161;249;202;155;255;216
57;20;135;45;51;90
3;1;1;4;4;3
1116;969;886;708;703;434
1;0;0;3;1;3
475;695;344;508;347;316
20;51;37;47;58;86
32;28;14;18;36;39
1635;1460;1663;2072;1935;1914
110;237;200;311;212;82
79;100;152;139;60;59
53;49;49;31;24;45
153;43;136;164;73;76
22;19;17;6;19;13
146;156;87;106;129;53
54;89;26;19;29;35
363;324;231;419;204;383
1;1;1;1;1;1
29;17;35;22;5;6
17;15;7;9;19;12
714;740;775;1110;1108;573
12;5;25;10;1;0
1;1;1;1;1;1
1;1;0;0;0;2
1;3;1;1;1;0
9;9;7;2;2;1
1;0;1;0;0;0
1;2;1;2;1;1
0;23;29;1;6;9
12;12;38;30;21;26
34;25;46;47;18;31
64;23;11;1;10;4
231;1686;659;537;244;219
183;409;195;243;195;243
55;21;0;46;7;4
7;41;9;1500;2;16
2;3;1;1;2;1
536;475;195;343;155;379
10;10;2;6;4;12
4;6;4;5;3;9
12;12;28;17;7;20
342;1164;552;280;277;447
216;198;367;156;305;203
117;91;68;85;100;142
43;22;11;48;46;45
236;82;92;156;99;200
6;5;9;25;8;12
0;8;5;2;2;0
145;159;233;241;227;172
1;4;1;2;3;3
5;2;3;4;5;4
347;363;568;296;216;403
28;71;18;44;41;17
332;307;353;325;363;282
330;278;187;194;190;167
66;38;17;19;31;74
7;2;4;17;1;0
30;13;23;26;30;21
344;234;240;210;287;403
1;2;1;1;2;1
48;88;488;80;75;47
78;5;57;24;41;54
5;5;16;6;8;2
