ID;upload_mb
943;178046
944;134664
945;1941862
946;31
947;3307
948;5593
949;531948
950;5615155
951;1067926
952;7170
953;245332
954;2307
955;617
956;1052001
957;22012
958;2651
959;148
960;1017946
961;1029075
962;17164
963;48962
964;88503
965;248007
966;1913
967;19633880
968;12441
969;4211
970;0
971;331903
972;2101616
973;43
974;203522
975;412938
976;732
977;120479
978;7706366
979;1420845
980;5581
981;2465599
982;310246
983;60086
984;9734963
985;33768
986;1047702
987;39331
988;1753
989;2936
990;1819085
991;4317892
992;335067
993;23576
994;232844
995;133102
996;5331
997;566105
998;1504117
999;4082613
1000;47542
1001;2321
1002;171055
1003;17421
1004;1958
1005;16332
1006;179687
1007;708837
1008;104407
1009;3066942
1010;1569
1011;215086
1012;0
1013;3638
1014;49
1015;2694
1016;37920
1017;522808
1018;1446823
1019;5599
1020;18858
1021;21235042
1022;1931170
1023;4281701
1024;1535084
1025;985328
1026;26578
1027;28606
1028;6469
1029;911823
1030;111328
1031;39
1032;3261265
1033;109976
1034;43538
1035;5987
1036;1853
1037;35334790
1038;388674
1039;413840
1040;6067
1041;192052
1042;2578131
1043;65888
1044;4713
1045;1412074
1046;5627
1047;273
1048;20637
1049;5890
1050;1112458
1051;202519
1052;11872
1053;4471
1054;10326
1055;109135
1056;36
1057;2648254
1058;291874
1059;1157
1060;5982
1061;26444664
1062;0
1063;71494
1064;0
1065;18562260
1066;1
1067;712860
1068;7958
1069;574513
1070;1868925
1071;6282
1072;580823
1073;642566
1074;3
1075;32
1076;408592
1077;1495714
1078;1949582
1079;423937
1080;2
1081;1240
1082;2184974
1083;1301
1084;171
1085;444304
1086;12509
1087;887
1088;787891
1089;0
1090;5836
1091;51
1092;48635
1093;579339
1094;57
1095;7763
1096;1
1097;1441098
1098;866349
1099;1090626
1100;6583
1101;588126
1102;10459416
1103;134
1104;14217150
1105;6633
1106;1160409
1107;41760
1108;171
1109;2093375
1110;9031
1111;24966580
1112;4538
1113;365558
1114;1349030
1115;471160
1116;52
1117;294050
1118;787937
1119;56433
1120;186308
1121;99448
1122;0
1123;0
1124;40679084
1125;401596
1126;3577601
1127;8563902
1128;21402
1129;416150
1130;23626
1131;471124
1132;3056717
1133;1591157
1134;83269
1135;3847893
1136;235432
1137;1
1138;20878
1139;27952
1140;98843
1141;22210
1142;263
1143;37
1144;11
1145;0
1146;418774
1147;672614
1148;1740397
1149;12023
1150;2
1151;4205769
1152;4965276
1153;385291
1154;145
1155;0
1156;75788
1157;34
1158;79467
1159;7965
1160;452514
1161;376943
1162;536482
1163;354038
1164;3363741
1165;3224964
1166;927
1167;762959
1168;3507
1169;2177926
1170;28167
1171;45379
1172;409029
1173;6019366
1174;129943
1175;2066476
1176;9543910
1177;580695
1178;476676
1179;22070
1180;1348
1181;566
1182;9242
1183;0
1184;4605369
1185;295293
1186;1520007
1187;7125058
1188;37486
1189;1318709
1190;494
1191;7541891
1192;52271
1193;74471
1194;156
1195;414
1196;340696
1197;9397
1198;932504
1199;2098551
1200;42700
1201;1
1202;10723
1203;1282
1204;12004
1205;1460429
1206;3087
1207;2
1208;12787
1209;66779
1210;1364121
1211;152358
1212;12019
1213;8209
1214;152180
1215;1682
1216;1575677
1217;16646
1218;1926127
1219;1209657
1220;693532
1221;3840
1222;631992
1223;265621
1224;12653
1225;1249
1226;5603323
1227;2964219
1228;9
1229;118122
1230;2118
1231;28614
1232;20625
1233;10319795
1234;93
1235;16707722
1236;55674
1237;33038
1238;730272
1239;557
1240;0
1241;2826
1242;8380389
1243;17114
1244;70068
1245;41886
1246;840902
1247;6565
1248;3195847
1249;6239743
1250;36202175
1251;4696031
1252;423921
1253;259380
1254;8569
1255;52957
1256;3977192
1257;104664
1258;872483
1259;3597
1260;743
1261;703271
1262;46184
1263;51
1264;8950296
1265;8238
1266;633058
1267;144905
1268;28309
1269;0
1270;3657461
1271;20314
1272;5999
1273;1586373
1274;173637
1275;2200941
1276;1422
1277;416080
1278;522725
1279;5210510
1280;630285
1281;1820
1282;1347423
1283;3663561
1284;2527827
1285;893656
1286;774
1287;2538
1288;43030
1289;7915184
1290;213291
1291;417187
1292;10732
1293;29416
1294;219837
1295;9971497
1296;96159
1297;1819
1298;2271191
1299;24351
1300;2144498
1301;198443
1302;3739
1303;368
1304;1994105
1305;54
