room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
9168577,1482,35644638,Shared room,,Nice,,KY,0,0,1,1,,24,,10:45.9,43.700858,7.256308,0101000020E61000000BD0B69A75061D40EA9106B7B5D94540
6479184,1482,25879988,Shared room,,Nice,,LW,12,5,1,1,,29,,10:45.9,43.710257,7.251199,0101000020E6100000D026874F3A011D40A6608DB3E9DA4540
13757627,1482,7168051,Shared room,,Nice,,KI,3,4.5,2,1,,33,,10:44.3,43.693644,7.294484,0101000020E6100000F3C7B4368D2D1D4087889B53C9D84540
19196773,1482,134289430,Shared room,,Nice,,KR,9,5,2,1,,37,,10:44.3,43.696359,7.277351,0101000020E6100000350D8AE6011C1D403CA3AD4A22D94540
14531593,1482,35649013,Shared room,,Nice,,EB,24,4.5,2,1,,24,,10:44.3,43.718247,7.256202,0101000020E6100000DEAD2CD159061D409DB98784EFDB4540
19858936,1482,57771922,Shared room,,Nice,,LS,3,4.5,6,1,,36,,10:44.3,43.711068,7.264552,0101000020E6100000965D30B8E60E1D40B69DB64604DB4540
19918452,1482,39537358,Shared room,,Nice,,LC,0,0,6,1,,35,,10:44.3,43.699148,7.271146,0101000020E6100000CEC3094CA7151D402B8881AE7DD94540
11439339,1482,59763406,Shared room,,Nice,,LR,27,4.5,2,1,,38,,10:44.3,43.713079,7.270394,0101000020E610000074232C2AE2141D40713B342C46DB4540
6052038,1482,247308,Shared room,,Nice,,KL,13,4,1,1,,35,,10:44.3,43.697306,7.28848,0101000020E61000004833164D67271D40FCA6B05241D94540
17740120,1482,95561335,Entire home/apt,,Nice,,LS,0,0,5,2,,844,,48:03.2,43.707328,7.264132,0101000020E6100000EC4E779E780E1D40C5C551B989DA4540
12406106,1482,67082151,Entire home/apt,,Nice,,KH,4,3.5,6,4,,964,,48:03.2,43.686876,7.297539,0101000020E610000060234910AE301D402234828DEBD74540
19015305,1482,132636172,Entire home/apt,,Nice,,EO,0,0,10,5,,784,,48:03.2,43.740785,7.256868,0101000020E6100000438EAD6708071D40062FFA0AD2DE4540
19561755,1482,7190018,Entire home/apt,,Nice,,MB,0,0,9,5,,794,,48:03.2,43.706971,7.23768,0101000020E610000033A7CB6262F31C40371C96067EDA4540
2961057,1482,15113397,Entire home/apt,,Nice,,AK,4,5,10,5,,990,,48:03.2,43.716227,7.316052,0101000020E61000007157AF22A3431D4090C18A53ADDB4540
17018100,1482,34084714,Entire home/apt,,Nice,,MT,0,0,8,4,,904,,48:03.2,43.702412,7.229099,0101000020E61000006A2FA2ED98EA1C40B328ECA2E8D94540
16639449,1482,11570858,Entire home/apt,,Nice,,KH,0,0,6,3,,964,,48:03.2,43.687942,7.29928,0101000020E61000003563D17476321D40BDC5C37B0ED84540
19674205,1482,14573623,Entire home/apt,,Nice,,EN,0,0,8,4,,759,,48:03.2,43.736323,7.253837,0101000020E61000001B0FB6D8ED031D40742502D53FDE4540
17022263,1482,1835819,Entire home/apt,,Nice,,AB,0,0,8,4,,603,,48:01.4,43.720023,7.318011,0101000020E6100000B212F3ACA4451D4014AFB2B629DC4540
17021522,1482,1835819,Entire home/apt,,Nice,,AB,0,0,8,4,,603,,48:01.4,43.719112,7.316516,0101000020E610000098A432C51C441D40A114ADDC0BDC4540
17022636,1482,1835819,Entire home/apt,,Nice,,AB,1,0,8,4,,603,,48:01.4,43.719853,7.31599,0101000020E6100000C173EFE192431D40B876A22424DC4540
17022926,1482,1835819,Entire home/apt,,Nice,,AB,0,0,8,4,,603,,48:01.4,43.719749,7.31654,0101000020E6100000DC80CF0F23441D40132A38BC20DC4540
5026816,1482,7264308,Entire home/apt,,Nice,,AS,0,0,6,3,,676,,48:00.4,43.697016,7.30431,0101000020E61000000F62670A9D371D40F564FED137D94540
387503,1482,1938846,Entire home/apt,,Nice,,LI,11,4.5,6,3,,543,,48:00.4,43.712541,7.275905,0101000020E610000026361FD7861A1D409207228B34DB4540
15607055,1482,1835819,Entire home/apt,,Nice,,AB,0,0,6,3,,603,,48:00.4,43.717927,7.316847,0101000020E6100000C5573B8A73441D402CF52C08E5DB4540
8536174,1482,39067464,Entire home/apt,,Nice,,AS,8,5,7,3,,543,,48:00.4,43.693577,7.306819,0101000020E61000006B2A8BC22E3A1D40FF209221C7D84540
4425624,1482,8043059,Entire home/apt,,Nice,,CR,0,0,8,4,,543,,48:00.4,43.70354,7.228613,0101000020E610000005C3B98619EA1C40C3B645990DDA4540
109157,1482,28794452,Entire home/apt,,Nice,,KH,6,4.5,12,5,,656,,48:00.4,43.686362,7.299929,0101000020E6100000E97C789620331D40CC9BC3B5DAD74540
17729262,1482,19833121,Entire home/apt,,Nice,,DA,0,0,8,5,,530,,48:00.4,43.722288,7.237786,0101000020E610000060C9552C7EF31C408925E5EE73DC4540
18367177,1482,15342284,Entire home/apt,,Nice,,NM,0,0,12,4,,579,,48:00.4,43.684167,7.211258,0101000020E6100000CF12640454D81C405000C5C892D74540
8787504,1482,46056761,Entire home/apt,,Nice,,KH,2,0,7,4,,663,,48:00.4,43.688264,7.296494,0101000020E610000045D7851F9C2F1D40CF81E50819D84540
1885353,1482,8683148,Entire home/apt,,Nice,,AN,0,0,6,3,,567,,48:00.4,43.658289,7.188163,0101000020E6100000DD442DCDADC01C4085285FD042D44540
6470443,1482,13787959,Entire home/apt,,Nice,,LI,0,0,6,3,,543,,48:00.4,43.712517,7.27597,0101000020E61000005FB532E1971A1D40096CCEC133DB4540
5000952,1482,7264308,Entire home/apt,,Nice,,AT,0,0,6,3,,676,,48:00.4,43.697437,7.304277,0101000020E610000031B3CF6394371D409B02999D45D94540
4108843,1482,12694783,Entire home/apt,,Nice,,KL,0,0,6,3,,543,,48:00.4,43.695545,7.290084,0101000020E6100000185FB4C70B291D40BBF2599E07D94540
4749743,1482,6853672,Entire home/apt,,Nice,,AT,1,0,10,5,,621,,48:00.4,43.702957,7.304422,0101000020E61000004DBB9866BA371D4044BFB67EFAD94540
15810751,1482,36811835,Entire home/apt,,Nice,,AR,0,0,5,1,,567,,48:00.4,43.660254,7.186158,0101000020E6100000198EE733A0BE1C40CF86FC3383D44540
5758890,1482,29642245,Entire home/apt,,Nice,,LM,0,0,8,4,,632,,48:00.4,43.714073,7.271847,0101000020E610000017105A0F5F161D4072FA7ABE66DB4540
11372068,1482,59603533,Entire home/apt,,Nice,,AC,0,0,8,4,,603,,48:00.4,43.753736,7.211939,0101000020E6100000DFFC868906D91C40B0E8D66B7AE04540
15911306,1482,28604665,Entire home/apt,,Nice,,LB,0,0,5,1,,627,,47:58.3,43.705553,7.265724,0101000020E6100000990CC7F319101D401F4C8A8F4FDA4540
10442161,1482,10618407,Entire home/apt,,Nice,,IS,0,0,12,6,,699,,47:58.3,43.71014,7.29621,0101000020E61000001EFE9AAC512F1D406DCA15DEE5DA4540
3108135,1482,14030845,Entire home/apt,,Nice,,AP,1,0,8,3,,615,,47:58.3,43.704857,7.312955,0101000020E61000008D7A884677401D40A7AD11C138DA4540
11807578,1482,62888116,Entire home/apt,,Nice,,AW,0,0,6,2,,603,,47:58.3,43.673667,7.188708,0101000020E61000006AF981AB3CC11C407DB262B83AD64540
16779607,1482,111442726,Entire home/apt,,Nice,,CO,0,0,8,4,,543,,47:58.3,43.704377,7.207659,0101000020E610000058E1968FA4D41C40FD86890629DA4540
10328245,1482,20925627,Entire home/apt,,Nice,,AV,6,4.5,12,6,,663,,47:58.3,43.708983,7.309194,0101000020E61000004A7A185A9D3C1D40C23577F4BFDA4540
11525397,1482,60379188,Entire home/apt,,Nice,,IV,0,0,8,4,,712,,47:58.3,43.706198,7.295935,0101000020E610000090F7AA95092F1D40144031B264DA4540
16153242,1482,21826853,Entire home/apt,,Nice,,BT,0,0,12,6,,602,,47:58.3,43.72659,7.215537,0101000020E6100000D34F38BBB5DC1C40E2CCAFE600DD4540
13587389,1482,18231171,Entire home/apt,,Nice,,MP,1,0,6,3,,543,,47:58.3,43.690753,7.241306,0101000020E6100000765089EB18F71C40944E24986AD84540
19668812,1482,138495164,Entire home/apt,,Nice,,KH,0,0,4,2,,603,,47:58.3,43.686364,7.304183,0101000020E610000026FF93BF7B371D406C938AC6DAD74540
6587569,1482,34458068,Entire home/apt,,Nice,,KW,12,4.5,8,4,,542,,47:58.3,43.697461,7.254945,0101000020E6100000691D554D10051D40239EEC6646D94540
15810883,1482,49491765,Entire home/apt,,Nice,,LS,0,0,4,1,,603,,47:58.3,43.707195,7.261542,0101000020E61000002A1F82AAD10B1D408672A25D85DA4540
